sex,unit,age,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 
F,NR,TOTAL,RO215	313268 e	314119 	315884 	316737 	317803 	318634 	318818 
F,NR,TOTAL,RO216	184392 e	185236 	188182 	190253 	192202 	193290 	193596 
F,NR,TOTAL,RO22	1210417 e	1219346 	1233205 	1245886 	1258066 	1268624 	1276522 
F,NR,TOTAL,RO221	145420 e	147369 	149801 	152515 	155002 	157318 	159327 
F,NR,TOTAL,RO222	207612 e	210121 	213528 	216954 	219783 	222670 	225063 
F,NR,TOTAL,RO223	345627 e	345820 	346879 	347771 	349178 	349874 	349937 
F,NR,TOTAL,RO224	254020 e	255640 	259105 	261325 	263811 	265747 	267145 
F,NR,TOTAL,RO225	96007 e	97092 	98642 	100119 	101494 	102837 	103919 
F,NR,TOTAL,RO226	161731 e	163304 	165250 	167202 	168798 	170178 	171131 
F,NR,TOTAL,RO3	2700617 e	2714050 	2727653 	2741591 	2759353 	2772211 	2783354 
F,NR,TOTAL,RO31	1471483 e	1486828 	1506766 	1527502 	1544318 	1559733 	1572340 
F,NR,TOTAL,RO311	293706 e	296392 	299647 	302260 	305069 	307201 	309089 
F,NR,TOTAL,RO312	141718 e	143706 	145881 	148468 	150196 	151760 	153173 
F,NR,TOTAL,RO313	245297 e	247488 	250330 	253357 	255817 	258054 	259751 
F,NR,TOTAL,RO314	131758 e	133625 	135533 	138108 	138841 	140117 	141161 
F,NR,TOTAL,RO315	128502 e	129331 	130988 	132696 	134161 	135324 	136399 
F,NR,TOTAL,RO316	364598 e	367568 	371658 	375599 	379907 	383670 	386175 
F,NR,TOTAL,RO317	165904 e	168718 	172729 	177014 	180327 	183607 	186592 
F,NR,TOTAL,RO32	1229134 e	1227222 	1220887 	1214089 	1215035 	1212478 	1211014 
F,NR,TOTAL,RO321	981404 e	979484 	979095 	978914 	988132 	992692 	997894 
F,NR,TOTAL,RO322	247730 e	247738 	241792 	235175 	226903 	219786 	213120 
F,NR,TOTAL,RO4	1876026 e	1887992 	1904202 	1921839 	1939747 	1955262 	1967654 
F,NR,TOTAL,RO41	969454 e	977780 	989796 	1002312 	1013971 	1024909 	1033792 
